"country","name","abbr"
"Poland","dolnośląskie",""
"Poland","kujawsko-pomorskie",""
"Poland","lubelskie",""
"Poland","lubuskie",""
"Poland","łódzkie",""
"Poland","małopolskie",""
"Poland","mazowieckie",""
"Poland","opolskie",""
"Poland","podkarpackie",""
"Poland","podlaskie",""
"Poland","pomorskie",""
"Poland","śląskie",""
"Poland","świętokrzyskie",""
"Poland","warmińsko-mazurskie",""
"Poland","wielkopolskie",""
"Poland","zachodniopomorskie",""
